date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
12/10/2015,116.17,115.8663,115.31045,1,0,500,0,58085,38180,96265,0.002864882,-0.03735
12/11/2015,113.18,115.9383,115.19005,1,0,500,0,56590,38180,94770,-0.015530047,-0.0523
12/14/2015,112.48,115.9803,115.06325,1,0,500,0,56240,38180,94420,-0.003693152,-0.0558
12/15/2015,110.49,115.9745,114.92315,1,0,500,0,55245,38180,93425,-0.010538022,-0.06575
12/16/2015,111.34,115.9751,114.80885,1,0,500,0,55670,38180,93850,0.004549104,-0.0615
12/17/2015,108.98,115.9391,114.66485,1,0,500,0,54490,38180,92670,-0.012573255,-0.0733
12/18/2015,106.03,115.8697,114.49525,1,0,500,0,53015,38180,91195,-0.015916694,-0.08805
12/21/2015,107.33,115.7739,114.34485,1,0,500,0,53665,38180,91845,0.007127584,-0.08155
12/22/2015,107.23,115.6865,114.20415,1,0,500,0,53615,38180,91795,-0.000544395,-0.08205
12/23/2015,108.61,115.6229,114.10585,1,0,500,0,54305,38180,92485,0.007516749,-0.07515
12/24/2015,108.03,115.5793,114.03975,1,0,500,0,54015,38180,92195,-0.003135644,-0.07805
12/28/2015,106.82,115.4785,113.95395,1,0,500,0,53410,38180,91590,-0.006562178,-0.0841
12/29/2015,108.74,115.4325,113.89005,1,0,500,0,54370,38180,92550,0.010481494,-0.0745
12/30/2015,107.32,115.3443,113.80805,1,0,500,0,53660,38180,91840,-0.007671529,-0.0816
12/31/2015,105.26,115.1741,113.66345,1,0,500,0,52630,38180,90810,-0.011215157,-0.0919
1/4/2016,105.35,115.0059,113.58205,1,0,500,0,52675,38180,90855,0.00049554,-0.09145
1/5/2016,102.71,114.7501,113.45675,1,0,500,0,51355,38180,89535,-0.014528645,-0.10465
1/6/2016,100.7,114.3825,113.31225,1,0,500,0,50350,38180,88530,-0.011224661,-0.1147
1/7/2016,96.45,114.0059,113.11715,1,0,500,0,48225,38180,86405,-0.024003163,-0.13595
1/8/2016,96.96,113.6541,112.91515,1,0,500,0,48480,38180,86660,0.002951218,-0.1334
