Game,Date / Box Score,Opponent,Score,Decision,Record
146,09-12-2019,at San Diego Padres,4-1,W,78-68
147,09-13-2019,vs Pittsburgh Pirates,17-8,W,79-68
148,09-14-2019,vs Pittsburgh Pirates,14-1,W,80-68
149,09-15-2019,vs Pittsburgh Pirates,16-6,W,81-68
150,09-16-2019,vs Cincinnati Reds,8-2,W,82-68
151,09-17-2019,vs Cincinnati Reds,2-4,L,82-69
152,09-18-2019,vs Cincinnati Reds,2-3,L,82-70
153,09-19-2019,vs St. Louis Cardinals,4-5,L,82-71
154,09-20-2019,vs St. Louis Cardinals,1-2,L,82-72
155,09-21-2019,vs St. Louis Cardinals,8-9,L,82-73
156,09-22-2019,vs St. Louis Cardinals,2-3,L,82-74
157,09-24-2019,at Pittsburgh Pirates,2-9,L,82-75
158,09-25-2019,at Pittsburgh Pirates,2-4,L,82-76
159,09-26-2019,at Pittsburgh Pirates,5-9,L,82-77
160,09-27-2019,at St. Louis Cardinals,8-2,W,83-77
161,09-28-2019,at St. Louis Cardinals,8-6,W,84-77
162,09-29-2019,at St. Louis Cardinals,0-9,L,84-78
