Date,Open,High,Low,Close,Adj Close,Volume
4/1/2018,6943.77002,7056.220215,6463.540039,6835.839844,6835.839844,889887684
4/2/2018,6835.580078,8218.660156,6792.299805,7074.600098,7074.600098,748861435
4/3/2018,7074.649902,7528.970215,7039.879883,7434.299805,7434.299805,905326798
4/4/2018,7434.299805,7442.419922,6727.089844,6815.5,6815.5,877199782
4/5/2018,6815.5,6933.660156,6602.379883,6790.450195,6790.450195,777145174
4/6/2018,6790.450195,6869.529785,6526.669922,6634.859863,6634.859863,605651287
4/7/2018,6634.859863,7083.850098,6624.470215,6917.200195,6917.200195,564883141
4/8/2018,6917.200195,7132.029785,6911.02002,7049.919922,7049.919922,425825572
4/9/2018,7049.919922,7204.279785,6633.689941,6789.529785,6789.529785,901883664
4/10/2018,6789.529785,6922.839844,6676.720215,6871.069824,6871.069824,424510977
4/11/2018,6871.069824,6999.370117,6839.160156,6977.129883,6977.129883,450141340
4/12/2018,6977.040039,8051.950195,6791.330078,7927.72998,7927.72998,1490759969
4/13/2018,7927.72998,8237.160156,7758.799805,7899.109863,7899.109863,1171435820
4/14/2018,7898.740234,8195.339844,7841.189941,8022.509766,8022.509766,537286381
4/15/2018,8022.509766,8437.030273,8021.040039,8376.730469,8376.730469,570527804
4/16/2018,8376.730469,8430.929688,7929.240234,8079.77002,8079.77002,713471956
4/17/2018,8079.77002,8187.600098,7858.120117,7921.629883,7921.629883,580880500
4/18/2018,7921.649902,8246.570313,7908.919922,8189.959961,8189.959961,593500791
4/19/2018,8189.919922,8321.009766,8136.419922,8301.820313,8301.820313,602099034
4/20/2018,8301.820313,8945.139648,8243.490234,8877.080078,8877.080078,979994921
4/21/2018,8877.150391,9047.820313,8631.179688,8935.719727,8935.719727,829073400
4/22/2018,8935.849609,9043.980469,8788.44043,8823.360352,8823.360352,610183093
4/23/2018,8823.459961,9025.730469,8804.200195,8968.25,8968.25,553892335
4/24/2018,8967.860352,9741.910156,8957.679688,9655.769531,9655.769531,1276464750
4/25/2018,9657.69043,9765.230469,8757.05957,8873.620117,8873.620117,1779806222
4/26/2018,8873.570313,9315.129883,8669.379883,9282.120117,9282.120117,997427934
4/27/2018,9289.009766,9385.870117,8923.480469,8938.469727,8938.469727,758182407
4/28/2018,8938.469727,9435.900391,8892.519531,9351.469727,9351.469727,774111704
4/29/2018,9349.94043,9552.669922,9189.070313,9407.040039,9407.040039,640931911
4/30/2018,9407.349609,9459.80957,9133.599609,9248.450195,9248.450195,574099218
5/1/2018,9248.25,9251.660156,8851.099609,9077.280273,9077.280273,669555436
5/2/2018,9077.280273,9271.620117,8993.820313,9232.19043,9232.19043,527488395
5/3/2018,9232.19043,9817.19043,9172.280273,9745.040039,9745.040039,857646889
5/4/2018,9746.259766,9785.150391,9547.209961,9699.610352,9699.610352,663887678
5/5/2018,9700.370117,9968.849609,9687.089844,9845.900391,9845.900391,679872376
5/6/2018,9846.44043,9936.959961,9441.929688,9644.919922,9644.919922,608650204
5/7/2018,9643.990234,9662.230469,9202.129883,9377.80957,9377.80957,692580062
5/8/2018,9377.080078,9472.089844,9063.070313,9196.129883,9196.129883,673924125
5/9/2018,9196.129883,9373.459961,8987.269531,9321.160156,9321.160156,625495066
